id,age,gender,education_level,income_bracket,urbanicity,country,trust_vaccine,concern_side_effects,ad_group,recall_ad,post_trust_vaccine,post_concern_side_effects,vaccine_uptake,vaccine_uptake_status
1192,67,Female,Bachelor's,<30k,Urban,USA,3,2,Reason,Yes,3,2,No,0
1193,53,Male,Bachelor's,60k–100k,Urban,India,2,5,Reason,Yes,2,3,Yes,1
1196,27,Male,Bachelor's,<30k,Suburban,Other,1,2,Emotion,No,5,1,Yes,1
1197,74,Male,Bachelor's,30k–60k,Rural,India,3,5,Control,No,3,3,No,0
1199,33,Male,Bachelor's,60k–100k,Urban,Brazil,3,4,Control,No,2,3,No,0
1200,31,Male,Doctorate,60k–100k,Suburban,Nigeria,4,2,Emotion,Yes,5,1,Yes,1
1201,33,Female,Bachelor's,60k–100k,Rural,India,4,1,Control,No,4,2,No,0
1202,35,Female,High school,<30k,Urban,UK,1,3,Control,No,3,5,Yes,1
1203,28,Male,Bachelor's,<30k,Suburban,India,3,3,Emotion,No,1,5,No,0
1204,60,Female,High school,30k–60k,Suburban,Brazil,3,2,Control,No,5,2,Yes,1
1205,51,Female,High school,<30k,Suburban,Brazil,2,3,Reason,Yes,5,5,No,0
1206,62,Male,Master's,30k–60k,Urban,USA,3,3,Reason,Yes,3,5,Yes,1
1207,65,Female,Master's,60k–100k,Urban,India,3,3,Emotion,No,3,5,No,0
1208,42,Female,Bachelor's,60k–100k,Suburban,India,2,4,Reason,Yes,3,2,No,0
1209,47,Female,High school,<30k,Urban,India,5,5,Control,No,3,5,No,0
1210,76,Male,Bachelor's,100k+,Suburban,India,2,2,Reason,No,5,2,No,0
1211,38,Male,Bachelor's,<30k,Urban,India,2,1,Control,No,2,1,Yes,1
1212,19,Female,Master's,<30k,Suburban,India,4,2,Emotion,No,5,3,Yes,1
1213,66,Male,Bachelor's,<30k,Urban,Brazil,1,3,Emotion,No,4,5,Yes,1
1215,37,Female,Master's,60k–100k,Suburban,Other,3,4,Emotion,No,5,2,No,0
1216,21,Male,Bachelor's,60k–100k,Rural,USA,1,1,Emotion,Yes,5,5,Yes,1
1217,30,Female,Master's,100k+,Urban,UK,1,2,Control,No,2,4,Yes,1
1218,34,Male,Master's,30k–60k,Suburban,Nigeria,4,5,Emotion,Yes,3,2,Yes,1
1219,19,Male,Bachelor's,30k–60k,Rural,Other,2,1,Emotion,Yes,2,1,No,0
1221,21,Female,Master's,60k–100k,Suburban,India,1,2,Emotion,No,1,4,Yes,1
1222,24,Male,High school,30k–60k,Suburban,UK,1,4,Emotion,No,4,4,Yes,1
1223,39,Male,Bachelor's,<30k,Urban,Nigeria,4,3,Reason,Yes,2,2,Yes,1
1224,74,Female,Master's,100k+,Urban,India,4,3,Emotion,No,5,4,Yes,1
1225,48,Male,High school,<30k,Suburban,Brazil,5,4,Reason,Yes,2,5,No,0
1226,30,Female,High school,30k–60k,Rural,Other,4,5,Reason,Yes,2,1,Yes,1
1227,40,Female,Master's,60k–100k,Urban,India,3,1,Reason,Yes,5,3,Yes,1
1228,19,Male,Bachelor's,60k–100k,Urban,India,3,2,Reason,No,5,1,No,0
1229,66,Male,Master's,<30k,Suburban,USA,3,4,Emotion,Yes,5,4,Yes,1
1230,53,Male,Master's,<30k,Urban,Nigeria,1,5,Emotion,No,1,5,No,0
1231,32,Male,High school,<30k,Rural,India,5,3,Reason,Yes,3,2,Yes,1
1232,52,Female,High school,<30k,Suburban,India,3,5,Control,No,5,5,Yes,1
1233,52,Female,Master's,<30k,Suburban,UK,1,3,Emotion,No,1,4,No,0
1234,24,Female,High school,<30k,Urban,USA,5,3,Emotion,Yes,5,2,No,0
1236,23,Male,Master's,<30k,Urban,Nigeria,2,2,Control,No,3,3,No,0
1237,25,Male,Bachelor's,60k–100k,Urban,India,3,2,Emotion,Yes,4,1,Yes,1
1238,70,Male,Doctorate,60k–100k,Suburban,USA,4,4,Emotion,No,5,1,Yes,1
1239,20,Male,Master's,100k+,Suburban,Brazil,2,4,Control,No,3,2,Yes,1
1240,67,Female,High school,100k+,Suburban,Brazil,2,5,Reason,No,5,1,No,0
1241,24,Male,Bachelor's,30k–60k,Rural,Canada,1,4,Emotion,Yes,3,5,Yes,1
1242,45,Male,High school,<30k,Suburban,Nigeria,4,4,Emotion,Yes,3,1,Yes,1
1243,40,Male,Master's,30k–60k,Urban,USA,4,4,Emotion,No,1,3,Yes,1
1245,53,Male,High school,<30k,Urban,Brazil,3,2,Emotion,Yes,2,5,Yes,1
1247,75,Female,Bachelor's,<30k,Suburban,Canada,2,3,Control,No,1,2,No,0
1248,19,Male,Master's,30k–60k,Urban,India,2,1,Reason,No,3,3,Yes,1
1249,27,Female,Bachelor's,<30k,Suburban,India,5,2,Reason,Yes,2,4,Yes,1
1250,22,Female,Bachelor's,<30k,Urban,Other,1,3,Emotion,No,2,1,Yes,1
1251,47,Female,High school,100k+,Urban,India,4,2,Reason,No,1,5,Yes,1
1252,27,Male,Doctorate,60k–100k,Urban,USA,4,5,Reason,No,5,5,Yes,1
1253,26,Male,Master's,60k–100k,Rural,USA,4,3,Emotion,Yes,3,1,Yes,1
1254,35,Female,Master's,30k–60k,Urban,Nigeria,2,2,Emotion,No,2,2,Yes,1
1255,40,Female,Master's,60k–100k,Urban,USA,2,3,Reason,No,4,1,Yes,1
1256,46,Male,Bachelor's,100k+,Urban,USA,4,5,Emotion,Yes,3,4,No,0
1257,38,Male,High school,<30k,Urban,India,4,5,Emotion,Yes,2,3,Yes,1
1258,40,Female,Master's,<30k,Rural,Other,4,1,Control,No,4,2,Yes,1
1260,25,Female,High school,30k–60k,Suburban,Canada,5,4,Control,No,3,2,Yes,1
1261,22,Male,Bachelor's,30k–60k,Rural,Nigeria,4,3,Reason,No,5,4,Yes,1
1262,23,Female,Master's,<30k,Rural,Other,3,2,Control,No,5,1,No,0
1263,29,Female,Master's,<30k,Urban,USA,1,2,Reason,No,2,5,Yes,1
1264,19,Female,Master's,<30k,Rural,USA,2,2,Reason,No,4,4,Yes,1
1265,36,Female,Master's,100k+,Suburban,Brazil,4,5,Emotion,No,1,5,Yes,1
1266,27,Male,Bachelor's,<30k,Urban,UK,4,4,Control,No,3,3,No,0
1267,56,Female,Master's,<30k,Suburban,India,1,4,Control,No,2,5,Yes,1
1268,20,Male,Master's,100k+,Urban,Nigeria,1,4,Control,No,2,3,Yes,1
1269,44,Female,Master's,30k–60k,Urban,UK,5,3,Emotion,Yes,5,3,Yes,1
1270,74,Female,Bachelor's,60k–100k,Suburban,USA,3,1,Control,No,3,3,No,0
1271,48,Female,Master's,100k+,Suburban,Canada,2,2,Reason,Yes,5,5,Yes,1
1272,33,Female,Bachelor's,100k+,Urban,Brazil,2,3,Reason,No,4,2,Yes,1
1273,48,Female,Master's,100k+,Suburban,USA,2,3,Emotion,Yes,1,1,No,0
1274,19,Female,High school,100k+,Rural,USA,1,2,Control,No,3,2,Yes,1
1275,34,Female,High school,30k–60k,Urban,Brazil,5,3,Control,No,2,3,Yes,1
1276,41,Female,High school,<30k,Urban,Nigeria,4,2,Control,No,3,5,No,0
1277,44,Male,Master's,100k+,Urban,Brazil,3,3,Emotion,Yes,5,4,Yes,1
1278,27,Female,Master's,100k+,Urban,USA,1,2,Emotion,No,5,3,Yes,1
1279,36,Female,Master's,100k+,Rural,Nigeria,5,2,Reason,No,5,5,Yes,1
1280,27,Male,Master's,30k–60k,Rural,USA,4,2,Emotion,No,2,1,Yes,1
1281,61,Female,Master's,30k–60k,Suburban,Nigeria,4,4,Emotion,No,3,5,Yes,1
1282,60,Non-binary,High school,100k+,Urban,UK,5,3,Emotion,No,5,3,No,0
1283,33,Male,High school,<30k,Suburban,Other,2,3,Reason,Yes,2,1,Yes,1
1285,27,Non-binary,High school,100k+,Urban,Nigeria,5,3,Emotion,No,4,1,Yes,1
1286,30,Female,Bachelor's,<30k,Suburban,Brazil,4,3,Reason,Yes,3,5,Yes,1
1287,20,Female,Bachelor's,<30k,Urban,India,2,3,Emotion,No,3,5,Yes,1
1288,35,Male,Bachelor's,100k+,Urban,USA,3,4,Emotion,Yes,3,3,Yes,1
1289,20,Female,Bachelor's,<30k,Suburban,Brazil,2,4,Control,No,3,1,No,0
1290,67,Male,Bachelor's,<30k,Urban,Brazil,2,4,Reason,No,5,5,No,0
1291,31,Male,High school,100k+,Rural,USA,3,5,Control,No,4,5,No,0
1293,36,Male,Bachelor's,<30k,Suburban,Other,2,1,Reason,Yes,2,3,No,0
1294,38,Male,Master's,30k–60k,Suburban,India,5,5,Reason,Yes,1,4,No,0
1295,40,Male,Master's,60k–100k,Suburban,India,4,2,Control,No,5,4,Yes,1
1296,29,Male,Master's,<30k,Urban,Nigeria,1,1,Emotion,Yes,2,1,Yes,1
1299,31,Female,High school,100k+,Suburban,India,4,5,Emotion,Yes,4,4,Yes,1
1301,22,Male,Master's,<30k,Urban,USA,3,2,Emotion,Yes,3,2,Yes,1
1302,20,Female,Bachelor's,30k–60k,Urban,USA,2,3,Control,No,4,2,Yes,1
1303,22,Female,Master's,<30k,Suburban,Nigeria,4,3,Reason,Yes,1,3,Yes,1
1304,30,Female,Bachelor's,30k–60k,Urban,UK,2,3,Control,No,3,5,No,0
1305,28,Male,Bachelor's,60k–100k,Suburban,Brazil,3,4,Control,No,3,1,No,0
1306,31,Female,Bachelor's,30k–60k,Urban,USA,1,2,Control,No,1,4,No,0
1307,41,Male,Doctorate,<30k,Suburban,Brazil,4,3,Emotion,No,1,3,Yes,1
1308,42,Female,Master's,30k–60k,Urban,USA,4,5,Reason,Yes,3,3,Yes,1
1309,28,Male,Doctorate,30k–60k,Urban,USA,4,5,Emotion,No,2,3,No,0
1310,21,Male,Bachelor's,<30k,Urban,UK,2,4,Emotion,Yes,5,3,No,0
1312,37,Male,Bachelor's,<30k,Suburban,Nigeria,3,2,Control,No,1,5,Yes,1
1313,18,Female,High school,30k–60k,Suburban,India,4,4,Reason,No,4,1,Yes,1
1314,30,Male,Master's,<30k,Suburban,Canada,2,4,Control,No,1,3,Yes,1
1315,42,Female,Bachelor's,30k–60k,Rural,India,3,2,Reason,Yes,1,1,No,0
1316,35,Male,Doctorate,<30k,Suburban,Nigeria,3,3,Reason,Yes,1,4,Yes,1
1317,28,Male,Master's,30k–60k,Rural,India,4,2,Reason,Yes,4,1,Yes,1
1318,23,Male,Master's,30k–60k,Suburban,Nigeria,3,1,Control,No,2,3,Yes,1
1319,63,Male,Bachelor's,<30k,Suburban,UK,4,5,Reason,No,3,1,No,0
1320,49,Male,High school,<30k,Urban,UK,4,3,Emotion,No,2,1,Yes,1
1321,43,Male,Bachelor's,60k–100k,Suburban,Brazil,3,4,Control,No,5,3,Yes,1
1322,27,Male,Bachelor's,30k–60k,Suburban,Canada,4,2,Emotion,Yes,5,1,Yes,1
1324,29,Female,Bachelor's,<30k,Suburban,Canada,1,1,Reason,Yes,2,1,Yes,1
1325,29,Female,High school,100k+,Urban,Brazil,4,4,Emotion,Yes,3,5,Yes,1
1326,27,Non-binary,Bachelor's,100k+,Suburban,Nigeria,3,3,Control,No,5,2,Yes,1
1327,36,Male,Master's,30k–60k,Suburban,Brazil,4,3,Emotion,No,5,5,Yes,1
1328,32,Male,High school,<30k,Urban,Nigeria,5,4,Control,No,4,4,Yes,1
1329,28,Female,High school,100k+,Rural,India,2,2,Reason,No,4,4,Yes,1
1330,37,Female,Master's,60k–100k,Urban,Nigeria,4,2,Emotion,No,5,1,Yes,1
1331,21,Male,Master's,30k–60k,Suburban,USA,4,4,Emotion,Yes,1,2,Yes,1
1332,42,Female,Master's,100k+,Rural,Brazil,1,3,Emotion,No,2,5,Yes,1
1334,59,Male,Master's,60k–100k,Urban,USA,3,5,Control,No,3,5,Yes,1
1335,21,Female,Master's,<30k,Suburban,India,5,4,Control,No,5,4,Yes,1
1336,30,Female,High school,60k–100k,Urban,USA,5,2,Reason,No,4,3,Yes,1
1337,49,Male,High school,60k–100k,Urban,India,3,2,Reason,No,2,4,No,0
1338,37,Male,Bachelor's,<30k,Rural,Other,2,2,Control,No,4,1,Yes,1
1339,52,Female,High school,100k+,Urban,Nigeria,3,4,Emotion,No,5,1,Yes,1
1340,32,Female,Bachelor's,60k–100k,Rural,USA,3,3,Reason,Yes,1,5,Yes,1
1342,18,Female,Bachelor's,100k+,Suburban,UK,1,5,Control,No,1,4,No,0
1344,47,Female,Bachelor's,<30k,Urban,Brazil,2,3,Reason,Yes,2,2,Yes,1
1347,50,Female,High school,<30k,Urban,USA,1,3,Emotion,Yes,3,4,No,0
1348,76,Female,Bachelor's,60k–100k,Suburban,USA,2,2,Control,No,3,2,No,0
1349,23,Male,Doctorate,100k+,Urban,Canada,1,1,Emotion,No,3,1,Yes,1
1351,68,Male,High school,<30k,Urban,Nigeria,4,2,Control,No,2,4,Yes,1
1352,24,Female,Master's,100k+,Urban,USA,2,1,Control,No,1,1,No,0
1353,41,Male,Master's,30k–60k,Suburban,Nigeria,2,3,Emotion,Yes,2,4,No,0
1354,32,Male,Bachelor's,<30k,Urban,India,2,3,Control,No,1,1,Yes,1
1355,22,Male,Master's,30k–60k,Rural,USA,2,4,Control,No,2,5,Yes,1
1358,27,Female,Bachelor's,60k–100k,Rural,Brazil,3,5,Emotion,Yes,3,3,No,0
1359,32,Male,Bachelor's,100k+,Suburban,USA,2,1,Reason,Yes,5,1,Yes,1
1360,21,Male,Bachelor's,100k+,Urban,Brazil,3,4,Control,No,2,1,No,0
1361,30,Female,Doctorate,<30k,Urban,Brazil,5,4,Emotion,No,3,2,Yes,1
1362,44,Female,Master's,30k–60k,Suburban,Canada,3,4,Emotion,No,4,4,Yes,1
1363,26,Male,High school,30k–60k,Urban,Brazil,4,5,Reason,Yes,1,5,No,0
1364,40,Female,Master's,<30k,Urban,India,3,3,Emotion,No,4,1,Yes,1
1365,44,Female,Master's,30k–60k,Suburban,India,3,2,Control,No,4,3,No,0
1366,52,Female,High school,60k–100k,Suburban,India,2,2,Emotion,Yes,2,1,No,0
1367,45,Male,Bachelor's,30k–60k,Urban,India,4,2,Reason,No,2,1,No,0
1368,37,Female,Bachelor's,60k–100k,Urban,India,5,2,Reason,Yes,2,2,Yes,1
1370,22,Male,High school,100k+,Suburban,India,5,5,Emotion,Yes,3,4,No,0
1372,22,Female,Doctorate,100k+,Suburban,UK,2,2,Reason,No,1,5,Yes,1
1373,55,Female,High school,30k–60k,Rural,Canada,2,4,Control,No,2,1,Yes,1
1374,23,Female,Bachelor's,60k–100k,Suburban,USA,3,2,Reason,Yes,4,2,Yes,1
1375,30,Male,Bachelor's,30k–60k,Urban,USA,5,4,Emotion,Yes,3,2,Yes,1
1376,31,Female,Master's,30k–60k,Urban,Nigeria,2,1,Emotion,Yes,2,5,No,0
1377,25,Male,Master's,<30k,Urban,USA,5,5,Emotion,No,5,4,Yes,1
1378,38,Male,High school,60k–100k,Urban,Other,4,4,Reason,No,4,4,Yes,1
1379,40,Male,Bachelor's,30k–60k,Suburban,India,2,2,Reason,No,2,4,Yes,1
1380,65,Male,High school,100k+,Urban,USA,4,3,Reason,No,2,2,No,0
1381,54,Male,High school,60k–100k,Suburban,Nigeria,1,5,Emotion,Yes,3,1,Yes,1
1382,50,Female,High school,30k–60k,Rural,India,2,1,Reason,Yes,3,1,Yes,1
1384,42,Female,Master's,60k–100k,Suburban,UK,2,1,Emotion,Yes,3,5,Yes,1
1385,30,Female,Bachelor's,30k–60k,Rural,Brazil,2,3,Control,No,2,1,No,0
1386,33,Male,High school,30k–60k,Urban,Other,2,2,Emotion,Yes,3,5,Yes,1
1387,39,Male,Doctorate,60k–100k,Urban,Brazil,2,3,Control,No,5,1,Yes,1
1388,70,Male,Bachelor's,30k–60k,Urban,USA,4,3,Control,No,3,1,Yes,1
1389,25,Female,Bachelor's,<30k,Rural,India,4,4,Control,No,3,3,Yes,1
1390,19,Male,Bachelor's,100k+,Urban,India,5,1,Control,No,1,1,Yes,1
1391,19,Female,High school,<30k,Urban,Brazil,5,1,Control,No,1,5,Yes,1
1392,40,Female,Bachelor's,30k–60k,Urban,USA,2,3,Control,No,1,3,Yes,1
1393,31,Female,Bachelor's,<30k,Suburban,India,3,4,Emotion,Yes,3,3,No,0
1395,24,Male,Master's,30k–60k,Urban,USA,4,2,Reason,Yes,2,4,Yes,1
1396,20,Female,Master's,<30k,Urban,USA,3,3,Reason,Yes,4,3,Yes,1
1397,23,Female,Master's,<30k,Urban,Other,5,2,Reason,Yes,3,1,Yes,1
1398,48,Female,Master's,30k–60k,Suburban,Nigeria,3,1,Reason,No,3,2,No,0
1399,18,Female,High school,<30k,Urban,USA,4,2,Emotion,No,2,4,No,0
1400,20,Female,Master's,60k–100k,Rural,India,1,3,Control,No,1,4,Yes,1
1401,19,Male,Bachelor's,100k+,Urban,Canada,4,2,Control,No,3,2,No,0
1402,48,Male,Bachelor's,30k–60k,Urban,USA,5,4,Control,No,2,4,Yes,1
1403,34,Female,High school,60k–100k,Suburban,India,5,5,Control,No,4,1,Yes,1
1404,66,Male,Bachelor's,<30k,Urban,UK,2,3,Control,No,2,5,Yes,1
1405,55,Female,Master's,60k–100k,Urban,India,2,2,Reason,No,3,5,No,0
1406,19,Female,Master's,30k–60k,Suburban,UK,3,3,Control,No,5,3,Yes,1
1407,53,Female,Bachelor's,60k–100k,Rural,USA,4,1,Reason,No,3,5,Yes,1
1408,42,Male,Bachelor's,30k–60k,Rural,USA,3,1,Reason,No,5,1,No,0
1409,40,Female,High school,<30k,Urban,India,3,2,Control,No,1,4,No,0
1410,19,Female,Bachelor's,60k–100k,Suburban,Nigeria,1,4,Reason,No,5,1,Yes,1
1412,43,Female,High school,30k–60k,Rural,USA,3,3,Control,No,2,2,No,0
1413,32,Male,Master's,<30k,Urban,UK,2,3,Emotion,Yes,3,1,Yes,1
1414,27,Non-binary,Master's,30k–60k,Suburban,USA,4,2,Control,No,1,1,Yes,1
1415,23,Female,Bachelor's,<30k,Urban,India,1,1,Emotion,Yes,5,3,Yes,1
1416,23,Female,Master's,<30k,Urban,USA,5,4,Emotion,Yes,1,1,No,0
1417,50,Male,Doctorate,60k–100k,Suburban,India,3,2,Emotion,No,2,1,Yes,1
1418,19,Male,Master's,100k+,Suburban,Nigeria,1,2,Emotion,Yes,1,1,Yes,1
1419,58,Female,Bachelor's,30k–60k,Urban,Nigeria,5,4,Control,No,5,4,Yes,1
1420,24,Male,High school,<30k,Urban,India,4,5,Control,No,3,1,No,0
1421,32,Male,High school,<30k,Urban,Nigeria,3,2,Reason,No,2,4,No,0
1422,30,Male,Master's,<30k,Suburban,India,1,3,Control,No,2,1,Yes,1
1424,62,Male,Bachelor's,30k–60k,Suburban,Nigeria,3,1,Emotion,Yes,3,3,No,0
1425,56,Female,High school,<30k,Rural,India,2,2,Emotion,Yes,4,3,Yes,1
1427,26,Male,Master's,<30k,Urban,Nigeria,4,1,Emotion,Yes,3,1,Yes,1
1428,29,Male,High school,100k+,Urban,Nigeria,3,4,Emotion,Yes,4,4,Yes,1
1429,56,Male,High school,100k+,Urban,UK,4,2,Control,No,3,1,Yes,1
1430,57,Male,Bachelor's,60k–100k,Urban,India,3,1,Control,No,4,5,No,0
1431,26,Male,Bachelor's,30k–60k,Suburban,India,4,4,Control,No,2,3,Yes,1
1432,20,Male,Master's,30k–60k,Urban,India,4,2,Reason,Yes,2,2,Yes,1
1433,33,Male,Doctorate,30k–60k,Suburban,USA,5,2,Reason,No,5,2,Yes,1
1435,27,Male,Bachelor's,<30k,Urban,India,2,3,Reason,No,4,4,Yes,1
1437,43,Female,Master's,100k+,Rural,Brazil,4,2,Control,No,2,4,Yes,1
1438,74,Male,High school,100k+,Urban,India,4,4,Control,No,2,2,Yes,1
1439,36,Male,Bachelor's,30k–60k,Urban,UK,5,1,Control,No,4,3,No,0
1440,34,Female,Master's,100k+,Urban,India,1,4,Control,No,4,4,No,0
1441,25,Male,Bachelor's,100k+,Urban,USA,4,4,Emotion,Yes,3,4,No,0
1442,75,Female,Bachelor's,100k+,Urban,Brazil,1,5,Emotion,Yes,1,5,Yes,1
1443,39,Female,Master's,60k–100k,Rural,UK,1,4,Reason,Yes,4,2,Yes,1
1444,20,Male,Doctorate,100k+,Urban,Nigeria,5,5,Control,No,4,1,Yes,1
1445,26,Female,Bachelor's,<30k,Urban,India,2,5,Reason,No,3,1,No,0
1446,49,Female,Master's,100k+,Suburban,USA,3,4,Emotion,Yes,4,2,No,0
1447,20,Male,Bachelor's,30k–60k,Urban,India,2,5,Reason,Yes,3,3,Yes,1
1448,32,Male,Bachelor's,30k–60k,Suburban,Canada,3,3,Emotion,Yes,5,5,Yes,1
1449,23,Male,High school,60k–100k,Rural,Other,4,3,Reason,Yes,4,5,Yes,1
1450,29,Male,Master's,<30k,Urban,USA,4,4,Control,No,5,5,Yes,1
1451,21,Male,High school,30k–60k,Urban,Brazil,1,4,Emotion,No,3,5,Yes,1
1452,52,Female,High school,100k+,Urban,USA,3,3,Emotion,No,2,3,No,0
1453,66,Female,Bachelor's,<30k,Suburban,Nigeria,1,3,Emotion,Yes,4,4,No,0
1455,56,Male,Bachelor's,<30k,Rural,Canada,1,4,Control,No,2,4,Yes,1
1456,67,Male,Master's,100k+,Rural,India,3,3,Emotion,Yes,4,4,No,0
1457,37,Female,Bachelor's,60k–100k,Suburban,Brazil,2,2,Reason,No,3,3,Yes,1
1458,21,Female,Master's,100k+,Urban,USA,5,4,Emotion,Yes,2,3,Yes,1
1459,48,Female,High school,30k–60k,Urban,UK,3,1,Reason,No,5,5,Yes,1
1460,22,Male,Master's,60k–100k,Suburban,USA,4,4,Emotion,Yes,5,2,Yes,1
1461,20,Male,High school,100k+,Urban,UK,3,1,Reason,No,1,3,No,0
1462,26,Female,High school,100k+,Urban,UK,3,3,Reason,No,1,4,Yes,1
1463,18,Female,Master's,<30k,Suburban,Nigeria,3,2,Emotion,Yes,1,1,Yes,1
1464,44,Female,Master's,30k–60k,Urban,Nigeria,1,2,Emotion,No,3,1,Yes,1
1465,23,Male,Master's,30k–60k,Suburban,Brazil,1,3,Emotion,Yes,1,1,No,0
1466,40,Male,High school,100k+,Urban,Other,1,3,Control,No,5,3,Yes,1
1467,29,Male,Master's,<30k,Suburban,Nigeria,3,2,Control,No,2,1,Yes,1
1468,20,Male,Bachelor's,<30k,Suburban,USA,3,2,Control,No,5,3,Yes,1
1469,19,Non-binary,Master's,100k+,Rural,India,2,3,Reason,Yes,3,1,Yes,1
1470,44,Female,Bachelor's,<30k,Suburban,USA,2,1,Control,No,4,4,Yes,1
1471,39,Male,Master's,30k–60k,Urban,USA,3,2,Control,No,1,1,Yes,1
1472,22,Female,Bachelor's,60k–100k,Rural,UK,4,2,Emotion,Yes,1,3,Yes,1
1473,43,Male,Master's,100k+,Suburban,USA,4,1,Reason,Yes,2,4,Yes,1
1474,33,Female,Bachelor's,<30k,Suburban,India,4,4,Reason,Yes,1,2,Yes,1
1475,29,Female,High school,100k+,Rural,USA,2,3,Reason,Yes,2,4,Yes,1
1476,56,Male,High school,60k–100k,Rural,USA,3,2,Reason,No,4,5,Yes,1
1477,56,Female,Bachelor's,30k–60k,Urban,Nigeria,3,5,Emotion,Yes,5,3,Yes,1
1478,61,Female,Master's,60k–100k,Urban,USA,5,4,Control,No,5,4,Yes,1
1479,18,Male,Bachelor's,30k–60k,Urban,Nigeria,2,3,Control,No,5,4,Yes,1
1480,29,Female,High school,100k+,Suburban,Canada,3,1,Emotion,No,3,5,Yes,1
1481,38,Female,High school,<30k,Urban,India,4,3,Reason,No,1,4,Yes,1
1482,29,Female,Master's,<30k,Urban,USA,3,3,Reason,Yes,3,3,No,0
1484,31,Male,Bachelor's,30k–60k,Urban,Other,1,5,Control,No,3,2,Yes,1
1485,36,Female,Bachelor's,<30k,Urban,Nigeria,4,2,Reason,Yes,5,3,No,0
1486,33,Female,Master's,60k–100k,Suburban,Nigeria,1,5,Emotion,No,4,4,No,0
1487,27,Female,High school,60k–100k,Urban,Nigeria,4,5,Reason,Yes,4,2,Yes,1
1488,28,Female,Bachelor's,60k–100k,Urban,Other,4,1,Reason,No,1,4,No,0
1489,30,Female,High school,100k+,Rural,India,3,3,Control,No,4,5,No,0
1490,29,Female,High school,<30k,Rural,Other,1,1,Emotion,No,4,3,Yes,1
1491,40,Female,Bachelor's,<30k,Rural,Canada,3,1,Control,No,1,5,Yes,1
1492,23,Male,High school,30k–60k,Suburban,USA,4,2,Control,No,3,1,No,0
1493,23,Male,Master's,30k–60k,Rural,Nigeria,4,4,Control,No,1,1,Yes,1
1494,38,Male,Master's,<30k,Urban,Nigeria,5,4,Control,No,5,5,No,0
1496,61,Female,High school,100k+,Urban,Nigeria,5,1,Emotion,Yes,5,5,Yes,1
1497,75,Male,High school,30k–60k,Suburban,India,3,5,Reason,Yes,4,3,No,0
1498,25,Male,Doctorate,<30k,Rural,USA,1,3,Reason,Yes,2,4,Yes,1
1499,27,Female,Bachelor's,60k–100k,Suburban,Nigeria,1,3,Control,No,1,3,No,0
1500,37,Female,High school,<30k,Rural,India,2,3,Reason,No,2,3,Yes,1
1501,22,Female,Doctorate,<30k,Urban,USA,1,5,Emotion,No,2,2,No,0
1502,57,Female,High school,60k–100k,Urban,UK,3,2,Control,No,1,3,Yes,1
1503,43,Male,High school,30k–60k,Urban,Canada,3,3,Emotion,Yes,1,2,Yes,1
1504,30,Non-binary,Master's,30k–60k,Suburban,India,4,3,Emotion,No,3,4,Yes,1
1505,23,Male,Bachelor's,<30k,Rural,USA,1,4,Emotion,Yes,4,4,Yes,1
1506,27,Female,Bachelor's,<30k,Suburban,India,4,1,Emotion,Yes,2,4,Yes,1
1507,62,Male,High school,30k–60k,Urban,Nigeria,2,4,Emotion,No,3,3,Yes,1
1508,36,Male,Master's,<30k,Suburban,Other,2,2,Control,No,4,3,No,0
1509,20,Female,High school,60k–100k,Rural,India,2,4,Reason,No,2,2,No,0
1510,53,Female,High school,100k+,Urban,India,2,3,Reason,Yes,2,1,Yes,1
1511,71,Male,Bachelor's,<30k,Urban,Nigeria,3,4,Emotion,Yes,2,5,No,0
1512,80,Non-binary,Master's,<30k,Suburban,USA,3,2,Reason,No,2,5,Yes,1
1513,26,Non-binary,Bachelor's,30k–60k,Suburban,UK,5,1,Control,No,4,2,Yes,1
1514,24,Male,Master's,60k–100k,Urban,India,2,4,Control,No,1,1,No,0
1515,31,Male,High school,30k–60k,Urban,Other,5,3,Emotion,No,5,2,Yes,1
1516,20,Female,Bachelor's,<30k,Urban,UK,3,2,Emotion,No,5,2,Yes,1
1517,43,Male,Master's,<30k,Suburban,India,2,4,Control,No,1,4,Yes,1
1518,19,Female,Master's,100k+,Rural,India,4,3,Emotion,No,1,5,No,0
1519,36,Female,Master's,60k–100k,Suburban,USA,4,3,Reason,Yes,3,3,Yes,1
1520,77,Male,Bachelor's,<30k,Urban,India,3,3,Emotion,No,4,5,Yes,1
1521,23,Female,High school,30k–60k,Suburban,Brazil,4,1,Emotion,No,5,4,No,0
1522,32,Female,Master's,<30k,Suburban,Other,4,5,Reason,No,3,1,Yes,1
1523,19,Female,Bachelor's,30k–60k,Suburban,India,1,3,Reason,Yes,5,3,Yes,1
1524,50,Female,Master's,100k+,Suburban,Other,2,4,Control,No,3,4,No,0
1525,29,Female,Master's,100k+,Rural,India,2,2,Emotion,No,1,3,Yes,1
1526,26,Female,Master's,60k–100k,Suburban,India,2,1,Control,No,3,2,No,0
1527,28,Male,Bachelor's,100k+,Rural,Nigeria,4,4,Emotion,No,4,4,No,0
1528,45,Female,Master's,30k–60k,Urban,Nigeria,3,3,Control,No,4,4,Yes,1
1529,20,Female,Master's,100k+,Urban,USA,3,5,Control,No,3,4,No,0
1530,37,Female,High school,30k–60k,Urban,Brazil,4,2,Control,No,1,4,Yes,1
