id,age,gender,education_level,income_bracket,urbanicity,country,trust_vaccine,concern_side_effects
1083,42,Female,Bachelor's,<30k,Suburban,Brazil,2,3
1084,51,Female,Doctorate,<30k,Suburban,India,4,4
1085,25,Male,Bachelor's,30k–60k,Urban,Other,4,2
1086,23,Male,Bachelor's,30k–60k,Suburban,USA,4,4
1087,43,Female,Bachelor's,<30k,Urban,UK,3,2
1088,41,Male,Master's,30k–60k,Suburban,Nigeria,1,3
1089,19,Female,High school,<30k,Suburban,Brazil,5,2
1090,29,Male,Bachelor's,30k–60k,Urban,Nigeria,4,3
1091,18,Female,High school,30k–60k,Rural,India,1,5
1092,19,Female,Doctorate,60k–100k,Urban,Canada,4,2
1093,19,Female,Master's,<30k,Urban,Brazil,3,2
1094,51,Female,Master's,60k–100k,Urban,India,3,1
1095,31,Male,Bachelor's,30k–60k,Urban,Nigeria,2,2
1096,29,Female,Bachelor's,<30k,Urban,India,3,5
1097,20,Female,Bachelor's,100k+,Suburban,Other,4,2
1098,59,Male,Bachelor's,<30k,Urban,Nigeria,4,2
1099,53,Female,Master's,30k–60k,Suburban,Other,4,3
1100,31,Female,Bachelor's,60k–100k,Rural,UK,2,5
1101,71,Female,Bachelor's,30k–60k,Suburban,Nigeria,4,3
1102,69,Non-binary,Master's,<30k,Urban,Nigeria,4,3
1103,38,Male,Doctorate,60k–100k,Rural,USA,3,3
1104,30,Female,Master's,<30k,Urban,Nigeria,2,2
1105,42,Female,Bachelor's,60k–100k,Urban,Nigeria,4,4
1106,47,Female,High school,100k+,Rural,UK,3,5
1107,66,Female,High school,<30k,Urban,Nigeria,1,4
1108,43,Male,High school,60k–100k,Suburban,Nigeria,3,3
1109,23,Female,Master's,60k–100k,Urban,Nigeria,4,4
1110,22,Female,Master's,30k–60k,Suburban,Brazil,5,2
1111,49,Male,Master's,30k–60k,Urban,USA,3,3
1112,33,Male,High school,<30k,Urban,India,3,3
1113,40,Female,Master's,<30k,Urban,India,4,3
1114,20,Male,Master's,<30k,Suburban,UK,4,4
1115,29,Female,Bachelor's,100k+,Urban,Brazil,5,5
1116,34,Male,Master's,<30k,Urban,India,3,5
1117,48,Female,High school,100k+,Urban,UK,1,4
1118,26,Female,High school,60k–100k,Rural,Canada,5,3
1119,64,Male,High school,<30k,Rural,UK,2,2
1120,26,Male,High school,30k–60k,Urban,UK,4,3
1121,21,Female,Bachelor's,<30k,Suburban,India,2,1
1122,27,Female,Master's,<30k,Urban,India,2,4
1123,31,Male,High school,<30k,Suburban,USA,2,1
1124,40,Female,High school,<30k,Urban,USA,4,4
1125,20,Male,Master's,<30k,Urban,Nigeria,4,5
1126,42,Male,High school,60k–100k,Urban,Nigeria,1,5
1127,24,Male,Bachelor's,30k–60k,Rural,Brazil,2,3
1128,43,Female,Bachelor's,30k–60k,Urban,USA,3,2
1129,74,Female,Bachelor's,100k+,Urban,USA,5,1
1130,33,Male,Bachelor's,30k–60k,Urban,USA,4,5
1131,20,Non-binary,Bachelor's,100k+,Urban,Nigeria,1,3
1132,28,Female,Master's,100k+,Urban,India,1,5
1133,27,Male,Bachelor's,30k–60k,Suburban,UK,4,1
1134,28,Male,Bachelor's,<30k,Rural,USA,5,3
1135,73,Female,Bachelor's,30k–60k,Rural,Brazil,4,2
1136,24,Male,High school,<30k,Urban,India,3,2
1137,19,Male,Bachelor's,<30k,Suburban,USA,1,1
1138,31,Female,Bachelor's,<30k,Urban,Nigeria,5,1
1139,26,Female,Master's,<30k,Rural,India,5,1
1140,28,Female,High school,100k+,Rural,USA,3,2
1141,40,Female,Bachelor's,60k–100k,Rural,USA,2,5
1142,57,Male,Master's,<30k,Suburban,UK,4,4
1143,20,Male,Bachelor's,60k–100k,Urban,India,1,1
1144,62,Male,High school,30k–60k,Urban,India,3,4
1145,30,Male,Master's,<30k,Urban,Brazil,4,2
1146,27,Male,High school,30k–60k,Urban,India,4,3
1147,32,Male,Master's,30k–60k,Urban,Nigeria,5,4
1148,36,Male,Master's,30k–60k,Urban,Nigeria,1,3
1149,29,Female,High school,<30k,Urban,USA,4,3
1150,38,Male,High school,100k+,Rural,USA,2,4
1151,70,Male,Bachelor's,<30k,Urban,Brazil,3,4
1152,19,Female,Master's,<30k,Urban,Nigeria,1,3
1153,41,Female,Master's,100k+,Rural,Nigeria,2,5
1154,26,Female,Bachelor's,<30k,Rural,USA,4,4
1155,25,Female,High school,60k–100k,Rural,Brazil,3,3
1156,19,Female,High school,30k–60k,Urban,USA,3,3
1157,33,Male,Bachelor's,<30k,Urban,USA,4,2
1158,23,Female,Master's,<30k,Urban,India,1,2
1159,36,Female,High school,100k+,Suburban,UK,5,5
1160,37,Male,Master's,30k–60k,Urban,Nigeria,4,4
1161,39,Male,Master's,60k–100k,Urban,USA,2,4
1162,47,Female,Master's,100k+,Rural,India,5,2
1163,21,Male,Bachelor's,60k–100k,Suburban,Nigeria,3,4
1164,45,Female,High school,<30k,Urban,USA,2,3
1165,19,Male,Bachelor's,30k–60k,Urban,USA,1,4
1166,34,Female,Master's,60k–100k,Urban,Brazil,5,3
1167,47,Female,Master's,30k–60k,Urban,Brazil,3,2
1168,38,Female,High school,<30k,Suburban,USA,4,2
1169,20,Female,Bachelor's,30k–60k,Urban,India,1,4
1170,19,Male,Master's,100k+,Urban,USA,2,5
1171,28,Female,High school,100k+,Rural,USA,1,4
1172,34,Male,High school,30k–60k,Urban,India,5,3
1173,26,Male,Bachelor's,30k–60k,Urban,Brazil,3,5
1174,76,Female,High school,100k+,Urban,India,5,3
1175,20,Female,Bachelor's,<30k,Suburban,USA,4,5
1176,21,Male,High school,<30k,Urban,Other,3,4
1177,30,Male,Bachelor's,100k+,Urban,USA,4,1
1178,34,Male,Master's,<30k,Suburban,India,5,4
1179,22,Male,High school,100k+,Suburban,UK,2,3
1180,31,Male,High school,100k+,Suburban,Brazil,3,3
1181,79,Male,Doctorate,<30k,Urban,India,1,1
1182,73,Male,Bachelor's,60k–100k,Urban,UK,1,4
1183,64,Male,Master's,<30k,Rural,USA,1,2
1184,28,Male,Bachelor's,30k–60k,Urban,India,1,3
1185,44,Female,Doctorate,<30k,Urban,UK,4,1
1186,28,Male,Doctorate,60k–100k,Suburban,Nigeria,3,3
1187,22,Male,Bachelor's,<30k,Urban,Brazil,4,2
1188,43,Male,High school,100k+,Urban,UK,1,3
1189,28,Female,Master's,<30k,Suburban,UK,2,4
1190,33,Non-binary,High school,30k–60k,Urban,India,1,2
1191,58,Female,Master's,100k+,Urban,India,3,4
1192,67,Female,Bachelor's,<30k,Urban,USA,3,2
1193,53,Male,Bachelor's,60k–100k,Urban,India,2,5
1194,69,Male,Master's,30k–60k,Urban,UK,2,2
1195,72,Female,Bachelor's,60k–100k,Urban,India,4,5
1196,27,Male,Bachelor's,<30k,Suburban,Other,1,2
1197,74,Male,Bachelor's,30k–60k,Rural,India,3,5
1198,41,Female,Master's,30k–60k,Suburban,India,4,4
1199,33,Male,Bachelor's,60k–100k,Urban,Brazil,3,4
1200,31,Male,Doctorate,60k–100k,Suburban,Nigeria,4,2
1201,33,Female,Bachelor's,60k–100k,Rural,India,4,1
1202,35,Female,High school,<30k,Urban,UK,1,3
1203,28,Male,Bachelor's,<30k,Suburban,India,3,3
1204,60,Female,High school,30k–60k,Suburban,Brazil,3,2
1205,51,Female,High school,<30k,Suburban,Brazil,2,3
1206,62,Male,Master's,30k–60k,Urban,USA,3,3
1207,65,Female,Master's,60k–100k,Urban,India,3,3
1208,42,Female,Bachelor's,60k–100k,Suburban,India,2,4
1209,47,Female,High school,<30k,Urban,India,5,5
1210,76,Male,Bachelor's,100k+,Suburban,India,2,2
1211,38,Male,Bachelor's,<30k,Urban,India,2,1
1212,19,Female,Master's,<30k,Suburban,India,4,2
1213,66,Male,Bachelor's,<30k,Urban,Brazil,1,3
1214,36,Female,Bachelor's,<30k,Suburban,Brazil,2,2
1215,37,Female,Master's,60k–100k,Suburban,Other,3,4
1216,21,Male,Bachelor's,60k–100k,Rural,USA,1,1
1217,30,Female,Master's,100k+,Urban,UK,1,2
1218,34,Male,Master's,30k–60k,Suburban,Nigeria,4,5
1219,19,Male,Bachelor's,30k–60k,Rural,Other,2,1
1220,24,Male,Master's,60k–100k,Suburban,Brazil,4,3
1221,21,Female,Master's,60k–100k,Suburban,India,1,2
1222,24,Male,High school,30k–60k,Suburban,UK,1,4
1223,39,Male,Bachelor's,<30k,Urban,Nigeria,4,3
1224,74,Female,Master's,100k+,Urban,India,4,3
1225,48,Male,High school,<30k,Suburban,Brazil,5,4
1226,30,Female,High school,30k–60k,Rural,Other,4,5
1227,40,Female,Master's,60k–100k,Urban,India,3,1
1228,19,Male,Bachelor's,60k–100k,Urban,India,3,2
1229,66,Male,Master's,<30k,Suburban,USA,3,4
1230,53,Male,Master's,<30k,Urban,Nigeria,1,5
1231,32,Male,High school,<30k,Rural,India,5,3
1232,52,Female,High school,<30k,Suburban,India,3,5
1233,52,Female,Master's,<30k,Suburban,UK,1,3
1234,24,Female,High school,<30k,Urban,USA,5,3
1235,79,Female,Bachelor's,100k+,Urban,India,2,3
1236,23,Male,Master's,<30k,Urban,Nigeria,2,2
1237,25,Male,Bachelor's,60k–100k,Urban,India,3,2
1238,70,Male,Doctorate,60k–100k,Suburban,USA,4,4
1239,20,Male,Master's,100k+,Suburban,Brazil,2,4
1240,67,Female,High school,100k+,Suburban,Brazil,2,5
1241,24,Male,Bachelor's,30k–60k,Rural,Canada,1,4
1242,45,Male,High school,<30k,Suburban,Nigeria,4,4
1243,40,Male,Master's,30k–60k,Urban,USA,4,4
1244,43,Male,High school,<30k,Rural,India,4,3
1245,53,Male,High school,<30k,Urban,Brazil,3,2
1246,18,Female,Bachelor's,30k–60k,Rural,Canada,1,4
1247,75,Female,Bachelor's,<30k,Suburban,Canada,2,3
1248,19,Male,Master's,30k–60k,Urban,India,2,1
1249,27,Female,Bachelor's,<30k,Suburban,India,5,2
1250,22,Female,Bachelor's,<30k,Urban,Other,1,3
1251,47,Female,High school,100k+,Urban,India,4,2
1252,27,Male,Doctorate,60k–100k,Urban,USA,4,5
1253,26,Male,Master's,60k–100k,Rural,USA,4,3
1254,35,Female,Master's,30k–60k,Urban,Nigeria,2,2
1255,40,Female,Master's,60k–100k,Urban,USA,2,3
1256,46,Male,Bachelor's,100k+,Urban,USA,4,5
1257,38,Male,High school,<30k,Urban,India,4,5
1258,40,Female,Master's,<30k,Rural,Other,4,1
1259,19,Male,High school,100k+,Suburban,UK,2,3
1260,25,Female,High school,30k–60k,Suburban,Canada,5,4
1261,22,Male,Bachelor's,30k–60k,Rural,Nigeria,4,3
1262,23,Female,Master's,<30k,Rural,Other,3,2
1263,29,Female,Master's,<30k,Urban,USA,1,2
1264,19,Female,Master's,<30k,Rural,USA,2,2
1265,36,Female,Master's,100k+,Suburban,Brazil,4,5
1266,27,Male,Bachelor's,<30k,Urban,UK,4,4
1267,56,Female,Master's,<30k,Suburban,India,1,4
1268,20,Male,Master's,100k+,Urban,Nigeria,1,4
1269,44,Female,Master's,30k–60k,Urban,UK,5,3
1270,74,Female,Bachelor's,60k–100k,Suburban,USA,3,1
1271,48,Female,Master's,100k+,Suburban,Canada,2,2
1272,33,Female,Bachelor's,100k+,Urban,Brazil,2,3
1273,48,Female,Master's,100k+,Suburban,USA,2,3
1274,19,Female,High school,100k+,Rural,USA,1,2
1275,34,Female,High school,30k–60k,Urban,Brazil,5,3
1276,41,Female,High school,<30k,Urban,Nigeria,4,2
1277,44,Male,Master's,100k+,Urban,Brazil,3,3
1278,27,Female,Master's,100k+,Urban,USA,1,2
1279,36,Female,Master's,100k+,Rural,Nigeria,5,2
1280,27,Male,Master's,30k–60k,Rural,USA,4,2
1281,61,Female,Master's,30k–60k,Suburban,Nigeria,4,4
1282,60,Non-binary,High school,100k+,Urban,UK,5,3
1283,33,Male,High school,<30k,Suburban,Other,2,3
1284,30,Male,Master's,30k–60k,Urban,USA,2,2
1285,27,Non-binary,High school,100k+,Urban,Nigeria,5,3
1286,30,Female,Bachelor's,<30k,Suburban,Brazil,4,3
1287,20,Female,Bachelor's,<30k,Urban,India,2,3
1288,35,Male,Bachelor's,100k+,Urban,USA,3,4
1289,20,Female,Bachelor's,<30k,Suburban,Brazil,2,4
1290,67,Male,Bachelor's,<30k,Urban,Brazil,2,4
1291,31,Male,High school,100k+,Rural,USA,3,5
1292,46,Male,Bachelor's,<30k,Urban,India,1,3
1293,36,Male,Bachelor's,<30k,Suburban,Other,2,1
1294,38,Male,Master's,30k–60k,Suburban,India,5,5
1295,40,Male,Master's,60k–100k,Suburban,India,4,2
1296,29,Male,Master's,<30k,Urban,Nigeria,1,1
1297,62,Male,Doctorate,60k–100k,Suburban,India,2,3
1298,57,Male,Master's,<30k,Urban,USA,2,4
1299,31,Female,High school,100k+,Suburban,India,4,5
1300,26,Male,High school,30k–60k,Suburban,Other,4,2
1301,22,Male,Master's,<30k,Urban,USA,3,2
1302,20,Female,Bachelor's,30k–60k,Urban,USA,2,3
1303,22,Female,Master's,<30k,Suburban,Nigeria,4,3
1304,30,Female,Bachelor's,30k–60k,Urban,UK,2,3
1305,28,Male,Bachelor's,60k–100k,Suburban,Brazil,3,4
1306,31,Female,Bachelor's,30k–60k,Urban,USA,1,2
1307,41,Male,Doctorate,<30k,Suburban,Brazil,4,3
1308,42,Female,Master's,30k–60k,Urban,USA,4,5
1309,28,Male,Doctorate,30k–60k,Urban,USA,4,5
1310,21,Male,Bachelor's,<30k,Urban,UK,2,4
1311,51,Male,High school,60k–100k,Urban,UK,4,2
1312,37,Male,Bachelor's,<30k,Suburban,Nigeria,3,2
1313,18,Female,High school,30k–60k,Suburban,India,4,4
1314,30,Male,Master's,<30k,Suburban,Canada,2,4
1315,42,Female,Bachelor's,30k–60k,Rural,India,3,2
1316,35,Male,Doctorate,<30k,Suburban,Nigeria,3,3
1317,28,Male,Master's,30k–60k,Rural,India,4,2
1318,23,Male,Master's,30k–60k,Suburban,Nigeria,3,1
1319,63,Male,Bachelor's,<30k,Suburban,UK,4,5
1320,49,Male,High school,<30k,Urban,UK,4,3
1321,43,Male,Bachelor's,60k–100k,Suburban,Brazil,3,4
1322,27,Male,Bachelor's,30k–60k,Suburban,Canada,4,2
1323,41,Male,High school,100k+,Suburban,Brazil,4,3
1324,29,Female,Bachelor's,<30k,Suburban,Canada,1,1
1325,29,Female,High school,100k+,Urban,Brazil,4,4
1326,27,Non-binary,Bachelor's,100k+,Suburban,Nigeria,3,3
1327,36,Male,Master's,30k–60k,Suburban,Brazil,4,3
1328,32,Male,High school,<30k,Urban,Nigeria,5,4
1329,28,Female,High school,100k+,Rural,India,2,2
1330,37,Female,Master's,60k–100k,Urban,Nigeria,4,2
1331,21,Male,Master's,30k–60k,Suburban,USA,4,4
1332,42,Female,Master's,100k+,Rural,Brazil,1,3
1333,73,Female,Master's,100k+,Suburban,India,1,2
1334,59,Male,Master's,60k–100k,Urban,USA,3,5
1335,21,Female,Master's,<30k,Suburban,India,5,4
1336,30,Female,High school,60k–100k,Urban,USA,5,2
1337,49,Male,High school,60k–100k,Urban,India,3,2
1338,37,Male,Bachelor's,<30k,Rural,Other,2,2
1339,52,Female,High school,100k+,Urban,Nigeria,3,4
1340,32,Female,Bachelor's,60k–100k,Rural,USA,3,3
1341,34,Male,High school,100k+,Urban,Nigeria,3,1
1342,18,Female,Bachelor's,100k+,Suburban,UK,1,5
1343,19,Male,Bachelor's,<30k,Urban,Brazil,4,2
1344,47,Female,Bachelor's,<30k,Urban,Brazil,2,3
1345,32,Male,Doctorate,30k–60k,Urban,India,2,1
1346,53,Female,High school,<30k,Urban,India,4,4
1347,50,Female,High school,<30k,Urban,USA,1,3
1348,76,Female,Bachelor's,60k–100k,Suburban,USA,2,2
1349,23,Male,Doctorate,100k+,Urban,Canada,1,1
1350,34,Male,Bachelor's,60k–100k,Urban,Brazil,5,2
1351,68,Male,High school,<30k,Urban,Nigeria,4,2
1352,24,Female,Master's,100k+,Urban,USA,2,1
1353,41,Male,Master's,30k–60k,Suburban,Nigeria,2,3
1354,32,Male,Bachelor's,<30k,Urban,India,2,3
1355,22,Male,Master's,30k–60k,Rural,USA,2,4
1356,19,Male,Master's,60k–100k,Suburban,Brazil,3,3
1357,23,Female,High school,60k–100k,Rural,UK,1,4
1358,27,Female,Bachelor's,60k–100k,Rural,Brazil,3,5
1359,32,Male,Bachelor's,100k+,Suburban,USA,2,1
1360,21,Male,Bachelor's,100k+,Urban,Brazil,3,4
1361,30,Female,Doctorate,<30k,Urban,Brazil,5,4
1362,44,Female,Master's,30k–60k,Suburban,Canada,3,4
1363,26,Male,High school,30k–60k,Urban,Brazil,4,5
1364,40,Female,Master's,<30k,Urban,India,3,3
1365,44,Female,Master's,30k–60k,Suburban,India,3,2
1366,52,Female,High school,60k–100k,Suburban,India,2,2
1367,45,Male,Bachelor's,30k–60k,Urban,India,4,2
1368,37,Female,Bachelor's,60k–100k,Urban,India,5,2
1369,36,Female,Master's,<30k,Urban,India,3,4
1370,22,Male,High school,100k+,Suburban,India,5,5
1371,22,Male,Master's,100k+,Urban,Nigeria,2,3
1372,22,Female,Doctorate,100k+,Suburban,UK,2,2
1373,55,Female,High school,30k–60k,Rural,Canada,2,4
1374,23,Female,Bachelor's,60k–100k,Suburban,USA,3,2
1375,30,Male,Bachelor's,30k–60k,Urban,USA,5,4
1376,31,Female,Master's,30k–60k,Urban,Nigeria,2,1
1377,25,Male,Master's,<30k,Urban,USA,5,5
1378,38,Male,High school,60k–100k,Urban,Other,4,4
1379,40,Male,Bachelor's,30k–60k,Suburban,India,2,2
1380,65,Male,High school,100k+,Urban,USA,4,3
1381,54,Male,High school,60k–100k,Suburban,Nigeria,1,5
1382,50,Female,High school,30k–60k,Rural,India,2,1
1383,40,Male,High school,<30k,Rural,Nigeria,1,1
1384,42,Female,Master's,60k–100k,Suburban,UK,2,1
1385,30,Female,Bachelor's,30k–60k,Rural,Brazil,2,3
1386,33,Male,High school,30k–60k,Urban,Other,2,2
1387,39,Male,Doctorate,60k–100k,Urban,Brazil,2,3
1388,70,Male,Bachelor's,30k–60k,Urban,USA,4,3
1389,25,Female,Bachelor's,<30k,Rural,India,4,4
1390,19,Male,Bachelor's,100k+,Urban,India,5,1
1391,19,Female,High school,<30k,Urban,Brazil,5,1
1392,40,Female,Bachelor's,30k–60k,Urban,USA,2,3
1393,31,Female,Bachelor's,<30k,Suburban,India,3,4
1394,31,Male,High school,30k–60k,Urban,Nigeria,4,1
1395,24,Male,Master's,30k–60k,Urban,USA,4,2
1396,20,Female,Master's,<30k,Urban,USA,3,3
1397,23,Female,Master's,<30k,Urban,Other,5,2
1398,48,Female,Master's,30k–60k,Suburban,Nigeria,3,1
1399,18,Female,High school,<30k,Urban,USA,4,2
1400,20,Female,Master's,60k–100k,Rural,India,1,3
1401,19,Male,Bachelor's,100k+,Urban,Canada,4,2
1402,48,Male,Bachelor's,30k–60k,Urban,USA,5,4
1403,34,Female,High school,60k–100k,Suburban,India,5,5
1404,66,Male,Bachelor's,<30k,Urban,UK,2,3
1405,55,Female,Master's,60k–100k,Urban,India,2,2
1406,19,Female,Master's,30k–60k,Suburban,UK,3,3
1407,53,Female,Bachelor's,60k–100k,Rural,USA,4,1
1408,42,Male,Bachelor's,30k–60k,Rural,USA,3,1
1409,40,Female,High school,<30k,Urban,India,3,2
1410,19,Female,Bachelor's,60k–100k,Suburban,Nigeria,1,4
1411,30,Male,Bachelor's,<30k,Urban,Nigeria,4,2
1412,43,Female,High school,30k–60k,Rural,USA,3,3
1413,32,Male,Master's,<30k,Urban,UK,2,3
1414,27,Non-binary,Master's,30k–60k,Suburban,USA,4,2
1415,23,Female,Bachelor's,<30k,Urban,India,1,1
1416,23,Female,Master's,<30k,Urban,USA,5,4
1417,50,Male,Doctorate,60k–100k,Suburban,India,3,2
1418,19,Male,Master's,100k+,Suburban,Nigeria,1,2
1419,58,Female,Bachelor's,30k–60k,Urban,Nigeria,5,4
1420,24,Male,High school,<30k,Urban,India,4,5
1421,32,Male,High school,<30k,Urban,Nigeria,3,2
1422,30,Male,Master's,<30k,Suburban,India,1,3
1423,26,Female,High school,30k–60k,Urban,India,4,1
1424,62,Male,Bachelor's,30k–60k,Suburban,Nigeria,3,1
1425,56,Female,High school,<30k,Rural,India,2,2
1426,22,Female,High school,100k+,Rural,Brazil,2,4
1427,26,Male,Master's,<30k,Urban,Nigeria,4,1
1428,29,Male,High school,100k+,Urban,Nigeria,3,4
1429,56,Male,High school,100k+,Urban,UK,4,2
1430,57,Male,Bachelor's,60k–100k,Urban,India,3,1
1431,26,Male,Bachelor's,30k–60k,Suburban,India,4,4
1432,20,Male,Master's,30k–60k,Urban,India,4,2
1433,33,Male,Doctorate,30k–60k,Suburban,USA,5,2
1434,30,Male,Bachelor's,30k–60k,Suburban,USA,3,2
1435,27,Male,Bachelor's,<30k,Urban,India,2,3
1436,43,Male,Bachelor's,30k–60k,Rural,USA,5,4
1437,43,Female,Master's,100k+,Rural,Brazil,4,2
1438,74,Male,High school,100k+,Urban,India,4,4
1439,36,Male,Bachelor's,30k–60k,Urban,UK,5,1
1440,34,Female,Master's,100k+,Urban,India,1,4
1441,25,Male,Bachelor's,100k+,Urban,USA,4,4
1442,75,Female,Bachelor's,100k+,Urban,Brazil,1,5
1443,39,Female,Master's,60k–100k,Rural,UK,1,4
1444,20,Male,Doctorate,100k+,Urban,Nigeria,5,5
1445,26,Female,Bachelor's,<30k,Urban,India,2,5
1446,49,Female,Master's,100k+,Suburban,USA,3,4
1447,20,Male,Bachelor's,30k–60k,Urban,India,2,5
1448,32,Male,Bachelor's,30k–60k,Suburban,Canada,3,3
1449,23,Male,High school,60k–100k,Rural,Other,4,3
1450,29,Male,Master's,<30k,Urban,USA,4,4
1451,21,Male,High school,30k–60k,Urban,Brazil,1,4
1452,52,Female,High school,100k+,Urban,USA,3,3
1453,66,Female,Bachelor's,<30k,Suburban,Nigeria,1,3
1454,33,Non-binary,Master's,60k–100k,Urban,USA,4,3
1455,56,Male,Bachelor's,<30k,Rural,Canada,1,4
1456,67,Male,Master's,100k+,Rural,India,3,3
1457,37,Female,Bachelor's,60k–100k,Suburban,Brazil,2,2
1458,21,Female,Master's,100k+,Urban,USA,5,4
1459,48,Female,High school,30k–60k,Urban,UK,3,1
1460,22,Male,Master's,60k–100k,Suburban,USA,4,4
1461,20,Male,High school,100k+,Urban,UK,3,1
1462,26,Female,High school,100k+,Urban,UK,3,3
1463,18,Female,Master's,<30k,Suburban,Nigeria,3,2
1464,44,Female,Master's,30k–60k,Urban,Nigeria,1,2
1465,23,Male,Master's,30k–60k,Suburban,Brazil,1,3
1466,40,Male,High school,100k+,Urban,Other,1,3
1467,29,Male,Master's,<30k,Suburban,Nigeria,3,2
1468,20,Male,Bachelor's,<30k,Suburban,USA,3,2
1469,19,Non-binary,Master's,100k+,Rural,India,2,3
1470,44,Female,Bachelor's,<30k,Suburban,USA,2,1
1471,39,Male,Master's,30k–60k,Urban,USA,3,2
1472,22,Female,Bachelor's,60k–100k,Rural,UK,4,2
1473,43,Male,Master's,100k+,Suburban,USA,4,1
1474,33,Female,Bachelor's,<30k,Suburban,India,4,4
1475,29,Female,High school,100k+,Rural,USA,2,3
1476,56,Male,High school,60k–100k,Rural,USA,3,2
1477,56,Female,Bachelor's,30k–60k,Urban,Nigeria,3,5
1478,61,Female,Master's,60k–100k,Urban,USA,5,4
1479,18,Male,Bachelor's,30k–60k,Urban,Nigeria,2,3
1480,29,Female,High school,100k+,Suburban,Canada,3,1
1481,38,Female,High school,<30k,Urban,India,4,3
1482,29,Female,Master's,<30k,Urban,USA,3,3
1483,49,Male,Doctorate,<30k,Urban,USA,3,5
1484,31,Male,Bachelor's,30k–60k,Urban,Other,1,5
1485,36,Female,Bachelor's,<30k,Urban,Nigeria,4,2
1486,33,Female,Master's,60k–100k,Suburban,Nigeria,1,5
1487,27,Female,High school,60k–100k,Urban,Nigeria,4,5
1488,28,Female,Bachelor's,60k–100k,Urban,Other,4,1
1489,30,Female,High school,100k+,Rural,India,3,3
1490,29,Female,High school,<30k,Rural,Other,1,1
1491,40,Female,Bachelor's,<30k,Rural,Canada,3,1
1492,23,Male,High school,30k–60k,Suburban,USA,4,2
1493,23,Male,Master's,30k–60k,Rural,Nigeria,4,4
1494,38,Male,Master's,<30k,Urban,Nigeria,5,4
1495,58,Female,Master's,30k–60k,Suburban,India,1,3
1496,61,Female,High school,100k+,Urban,Nigeria,5,1
1497,75,Male,High school,30k–60k,Suburban,India,3,5
1498,25,Male,Doctorate,<30k,Rural,USA,1,3
1499,27,Female,Bachelor's,60k–100k,Suburban,Nigeria,1,3
1500,37,Female,High school,<30k,Rural,India,2,3
1501,22,Female,Doctorate,<30k,Urban,USA,1,5
1502,57,Female,High school,60k–100k,Urban,UK,3,2
1503,43,Male,High school,30k–60k,Urban,Canada,3,3
1504,30,Non-binary,Master's,30k–60k,Suburban,India,4,3
1505,23,Male,Bachelor's,<30k,Rural,USA,1,4
1506,27,Female,Bachelor's,<30k,Suburban,India,4,1
1507,62,Male,High school,30k–60k,Urban,Nigeria,2,4
1508,36,Male,Master's,<30k,Suburban,Other,2,2
1509,20,Female,High school,60k–100k,Rural,India,2,4
1510,53,Female,High school,100k+,Urban,India,2,3
1511,71,Male,Bachelor's,<30k,Urban,Nigeria,3,4
1512,80,Non-binary,Master's,<30k,Suburban,USA,3,2
1513,26,Non-binary,Bachelor's,30k–60k,Suburban,UK,5,1
1514,24,Male,Master's,60k–100k,Urban,India,2,4
1515,31,Male,High school,30k–60k,Urban,Other,5,3
1516,20,Female,Bachelor's,<30k,Urban,UK,3,2
1517,43,Male,Master's,<30k,Suburban,India,2,4
1518,19,Female,Master's,100k+,Rural,India,4,3
1519,36,Female,Master's,60k–100k,Suburban,USA,4,3
1520,77,Male,Bachelor's,<30k,Urban,India,3,3
1521,23,Female,High school,30k–60k,Suburban,Brazil,4,1
1522,32,Female,Master's,<30k,Suburban,Other,4,5
1523,19,Female,Bachelor's,30k–60k,Suburban,India,1,3
1524,50,Female,Master's,100k+,Suburban,Other,2,4
1525,29,Female,Master's,100k+,Rural,India,2,2
1526,26,Female,Master's,60k–100k,Suburban,India,2,1
1527,28,Male,Bachelor's,100k+,Rural,Nigeria,4,4
1528,45,Female,Master's,30k–60k,Urban,Nigeria,3,3
1529,20,Female,Master's,100k+,Urban,USA,3,5
1530,37,Female,High school,30k–60k,Urban,Brazil,4,2
1531,26,Male,High school,<30k,Suburban,Canada,5,3
1532,30,Female,Bachelor's,<30k,Urban,India,5,1
1533,20,Female,Bachelor's,<30k,Urban,Nigeria,1,4
1534,53,Female,High school,30k–60k,Suburban,UK,5,2
1535,72,Male,Master's,<30k,Urban,Nigeria,3,2
1536,22,Male,High school,100k+,Urban,USA,3,5
1537,19,Male,Master's,30k–60k,Rural,Brazil,3,1
1538,40,Male,Master's,<30k,Urban,Nigeria,4,2
1539,21,Female,Bachelor's,30k–60k,Urban,India,2,2
1540,28,Male,Master's,<30k,Urban,USA,1,3
1541,37,Male,High school,30k–60k,Suburban,UK,4,1
1542,20,Female,High school,30k–60k,Rural,Brazil,3,3
1543,25,Male,Bachelor's,60k–100k,Suburban,USA,2,4
1544,26,Female,Master's,100k+,Urban,India,1,1
1545,22,Male,Master's,100k+,Suburban,UK,1,4
1546,26,Male,Bachelor's,30k–60k,Urban,Brazil,5,5
1547,76,Female,Bachelor's,<30k,Urban,USA,2,5
1548,31,Male,Master's,30k–60k,Urban,Nigeria,4,4
1549,30,Female,Bachelor's,100k+,Suburban,USA,5,5
1550,19,Male,Bachelor's,100k+,Urban,India,2,1
1551,21,Female,Bachelor's,<30k,Suburban,Canada,1,3
